date,code,side,price,shares,amount,fee,reason
2025-01-10,000001,BUY,8.972194893978495,22200,199182.72664632258,59.75481799389677,signal
2025-01-10,600001,BUY,9.658706051816862,16500,159368.64985497823,47.81059495649346,signal
2025-01-15,000001,SELL,9.562697490130283,22200,212291.8842808923,275.97944956516,hold_days
2025-01-15,600001,SELL,9.581846822435763,16500,158100.4725701901,205.53061434124712,hold_days
2025-01-15,000001,BUY,9.581842029650062,20800,199302.31421672128,59.79069426501638,signal
2025-01-17,600001,BUY,9.424858923399759,17200,162107.57348247585,48.632272044742756,signal
2025-01-20,000001,SELL,10.207326674581259,20800,212312.39483129018,276.0061132806772,hold_days
2025-01-20,300001,BUY,8.792128926463159,19600,172325.7269586779,51.69771808760336,signal
2025-01-22,600001,SELL,9.56007418869459,17200,164433.27604554695,213.76325885921102,hold_days
2025-01-22,000001,BUY,10.40952062996218,16400,170716.13833137977,51.21484149941393,signal
2025-01-23,300001,SELL,9.210912919467374,19600,180533.89322156052,234.69406118802866,hold_days
2025-01-27,000001,SELL,10.828632185232982,16400,177589.5678378209,230.86643818916718,hold_days
2025-01-27,000001,BUY,10.85031112854676,18400,199645.72476526038,59.89371742957811,signal
2025-01-28,300001,BUY,9.252947109958676,18100,167478.34269025203,50.24350280707561,signal
2025-01-30,000001,SELL,11.796534942840609,18400,217056.2429482672,282.1731158327473,hold_days
2025-01-31,300001,SELL,9.667310648903438,18100,174978.32274515223,227.4718195686979,hold_days
2025-02-03,600001,BUY,8.776534298221003,22700,199227.32856961677,59.768198570885026,signal
2025-02-03,000001,BUY,11.520151992888415,15000,172802.27989332622,51.84068396799786,signal
2025-02-06,600001,SELL,9.038844125764491,22700,205181.76165485397,266.73629015131013,hold_days
2025-02-06,000001,SELL,12.400414829534096,15000,186006.22244301144,241.80808917591486,hold_days
2025-02-06,600001,BUY,9.056939909800056,22000,199252.6780156012,59.77580340468036,signal
2025-02-06,000001,BUY,12.425240484848478,14200,176438.4148848484,52.931524465454515,signal
2025-02-11,600001,SELL,9.177880712802601,22000,201913.37568165723,262.4873883861544,hold_days
2025-02-11,000001,SELL,12.655881703061372,14200,179713.52018347147,233.6275762385129,hold_days
2025-02-19,000001,BUY,12.039625815918441,16600,199857.7885442461,59.95733656327383,signal
2025-02-24,000001,SELL,12.239568684430344,16600,203176.84016154372,264.1298922100068,hold_days
2025-02-24,000001,BUY,12.264072325440214,16300,199904.37890467548,59.97131367140264,signal
2025-02-27,000001,SELL,12.637997942070092,16300,205999.3664557425,267.79917639246526,hold_days
2025-03-05,300001,BUY,7.199457630801556,27700,199424.9763732031,59.827492911960924,signal
2025-03-07,600001,BUY,9.006822672126189,19900,179235.77117531115,53.77073135259334,signal
2025-03-10,300001,SELL,7.322600033662613,27700,202836.02093245438,263.6868272121907,hold_days
2025-03-11,000001,BUY,12.204536717762611,15000,183068.05076643918,54.92041522993175,signal
2025-03-12,600001,SELL,9.007493573068023,19900,179249.12210405368,233.02385873526976,hold_days
2025-03-12,600001,BUY,9.025526593234325,20300,183218.1898426568,54.96545695279704,signal
2025-03-14,000001,SELL,12.660279092951752,15000,189904.18639427627,246.87544231255913,hold_days
2025-03-14,000001,BUY,12.685624997041744,14500,183941.5624571053,55.18246873713158,signal
2025-03-17,600001,SELL,9.764384774397008,20300,198217.01092025926,257.682114196337,hold_days
2025-03-17,600001,BUY,9.783933092263668,19100,186873.12206223607,56.06193661867081,signal
2025-03-19,000001,SELL,13.164315367024155,14500,190882.57282185025,248.1473446684053,hold_days
2025-03-20,600001,SELL,10.963360992481073,19100,209400.1949563885,272.220253443305,hold_days
2025-03-25,600001,BUY,10.413921220980503,19200,199947.28744282568,59.9841862328477,signal
